description,price,rating,review_count,url
"2021 Flagship Dell Inspiron 15 5000 15.6 inch FHD Laptop 11th Gen Intel Quad-Core i5-1135G7 16GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 10 Home - Silver (Latest Model), LPT Accessory",799,3.6 out of 5 stars,6,https://www.amazon.com/Flagship-Dell-15-Quad-Core-i5-1135G7/dp/B08XNHQVN3/ref=sr_1_19?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-19
2021 Dell Inspiron 15 3505 Laptop Computer 15.6” HD Narrow Border Display AMD Ryzen 3 3250U Processor 8GB RAM 128GB SSD HDMI Wifi5 MaxxAudio Win10,448,4.1 out of 5 stars,24,https://www.amazon.com/Dell-Inspiron-3505-Processor-MaxxAudio/dp/B08PQ6S6CH/ref=sr_1_20?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-20
"2021 Latest Dell Inspiron 5000 Series 5502 15.6"" FHD Laptop 11th Gen Intel Quad-Core i7-1165G7 16GB RAM 512GB SSD Backlit Keyboard FP Reader Webcam USB-C Windows 10 Silver LPT Cloth",899,,,https://www.amazon.com/Dell-Inspiron-5502-Quad-Core-i7-1165G7/dp/B08XNYMZBP/ref=sr_1_21?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-21
"Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home",840,4.4 out of 5 stars,469,https://www.amazon.com/Dell-Inspiron-Notebook-i5-1035G1-Bluetooth/dp/B082MSPDL8/ref=sr_1_22?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-22
"2020 Dell Inspiron 14"" Laptop Computer 10th Gen Intel i3 1005G1 Up to 3.4GHz 4GB DDR4 RAM 128GB PCIe SSD Untel UHD Graphics HDMI 802.11ac WiFi Bluetooth 4.1 Windows 10",379,4.5 out of 5 stars,56,https://www.amazon.com/Dell-Inspiron-Computer-Graphics-Bluetooth/dp/B081ZFFJ46/ref=sr_1_23?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-23
"Dell Inspiron 3000 Series 15.6"" HD Notebook - Intel Celeron 4205U 1.8GHz - 4GB RAM 128GB PCIe SSD - Webcam - Windows 10 Home in S Mode, Black",349,4.3 out of 5 stars,37,https://www.amazon.com/Dell-Inspiron-3000-15-6-Notebook/dp/B08MRH5RW3/ref=sr_1_24?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-24
"Dell XPS 15 7590 Laptop: Core i7-9750H, 32GB RAM, 1TB PCIe SSD, 15.6"" 4K OLED 400-nits Display (3840 X 2160), Nvidia GTX 1650","2,039",5.0 out of 5 stars,2,https://www.amazon.com/Dell-XPS-15-7590-Laptop/dp/B082GHR72W/ref=sr_1_25?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-25
"Dell Inspiron 15 5000 Series 5502 Laptop i7-1165G7 Processor, 8GB, 1x8GB, 256GB M.2 PCIe NVMe Solid State Drive, 15.6-inch FHD (1920 x 1080) Anti-Glare LED Backlight Non-Touch Display",714,4.5 out of 5 stars,44,https://www.amazon.com/Dell-5502-i7-1165G7-Processor-Anti-Glare/dp/B08NH5R398/ref=sr_1_26?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-26
"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD Display, Intel Pentium Gold 5405U Processor, 16GB RAM, 1TB SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black",619,4.3 out of 5 stars,54,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00865271TK04H5OA59XJ&url=%2FDell-Inspiron-Display-Processor-Bluetooth%2Fdp%2FB08VY8B6YL%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577854%26sr%3D8-27-spons%26psc%3D1%26smid%3DA3QR4864ATM9Z9&qualifier=1619577854&id=7301598222050668&widgetName=sp_mtf
"New_Dell Inspiron FHD 15.6 Inch Laptop Student Business Computer, AMD Ryzen 5 (Beat Intel Core i5 8265u), 8GB RAM, 512GB SSD, HDMI, WiFi, Bluetooth, Win 10, 1-Week AimCare Sup.",549,5.0 out of 5 stars,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08936606DDERC3TM36W&url=%2FNew_Dell-Inspiron-Business-Bluetooth-AimCare%2Fdp%2FB08Z4JBM13%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577854%26sr%3D8-28-spons%26psc%3D1%26smid%3DA1N4MWNMFEI97L&qualifier=1619577854&id=7301598222050668&widgetName=sp_mtf
"Dell Inspiron 15 3000 (3593) Laptop Computer - 15.6 inch HD Anti-Glare Display (Intel Core 11th Gen i5-1035G1, 8GB, 256GB PCIe M.2 NVMe SSD, Camera) Windows 10 Home",531,4.5 out of 5 stars,3,https://www.amazon.com/Dell-Inspiron-3000-Laptop-Computer/dp/B08R62MNF4/ref=sr_1_29?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-29
"2020 Newest Dell Inspiron 11 3195 2-in-1 11.6 Inch Touchscreen Laptop (AMD A9-9420e up to 2.7GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5, WiFi, Bluetooth, HDMI, Windows 10)",329,3.9 out of 5 stars,120,https://www.amazon.com/Dell-Inspiron-Touchscreen-A9-9420e-Bluetooth/dp/B07Y5P8L5Y/ref=sr_1_30?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-30
"Dell Gaming G3 15 3500, 15.6 inch FHD Non-Touch Laptop - Intel Core i7-10750H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 2060 6GB GDDR6, Windows 10 Home - Black (Latest Model)","1,299",4.6 out of 5 stars,249,https://www.amazon.com/Dell-G3-15-3500-i7-10750H/dp/B089HR6CQP/ref=sr_1_31?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-31
